,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
4005,217750000.0,158190000.0,133740000.0,16499000.0,34423000.0,27811000.0
4006,0.0,11478000.0,20901000.0,0.0,0.0,0.0
4007,3988100.0,5784200.0,0.0,0.0,2295600.0,0.0
4008,47645000.0,52808000.0,64478000.0,0.0,0.0,0.0
4009,188670000.0,229580000.0,227790000.0,302220000.0,263710000.0,250400000.0
4010,49007000.0,55811000.0,67064000.0,72167000.0,86675000.0,65714000.0
4011,57000000.0,41130000.0,51822000.0,68257000.0,58373000.0,38653000.0
4012,0.0,0.0,0.0,0.0,0.0,8805900.0
4013,157700000.0,203820000.0,251410000.0,126010000.0,107020000.0,154750000.0
4014,639220000.0,706740000.0,640290000.0,0.0,526950000.0,0.0
4015,12325000.0,9999100.0,14816000.0,10991000.0,10348000.0,10139000.0
4016,383730000.0,427950000.0,363620000.0,302830000.0,382820000.0,410360000.0
4017,132670000.0,85781000.0,78984000.0,18732000.0,83548000.0,142180000.0
4018,634340000.0,618550000.0,594450000.0,380470000.0,505990000.0,513900000.0
4019,313310000.0,316380000.0,358760000.0,487440000.0,319470000.0,371140000.0
4020,133210000.0,144800000.0,174640000.0,176050000.0,184560000.0,219100000.0
4021,0.0,0.0,0.0,0.0,0.0,3251900.0
4022,0.0,0.0,0.0,0.0,0.0,13530000.0
4023,70468000.0,86088000.0,109930000.0,299470000.0,204030000.0,159020000.0
4024,36886000.0,48619000.0,35574000.0,150860000.0,129710000.0,142760000.0
4025,156270000.0,169690000.0,194170000.0,172000000.0,149850000.0,141680000.0
4026,114790000.0,110090000.0,150930000.0,205160000.0,177110000.0,152130000.0
4027,22340000.0,21925000.0,26673000.0,23234000.0,26577000.0,32350000.0
4028,66116000.0,61356000.0,54557000.0,117580000.0,176800000.0,175890000.0
4029,42278000.0,161760000.0,406550000.0,251780000.0,488520000.0,76271000.0
4030,385520000.0,356030000.0,399750000.0,369570000.0,365670000.0,310800000.0
4031,219370000.0,212530000.0,200280000.0,412250000.0,416810000.0,465040000.0
4032,23998000.0,19716000.0,21801000.0,11782000.0,14001000.0,17450000.0
4033,590850000.0,596930000.0,462990000.0,515100000.0,537130000.0,423920000.0
4034,20385000.0,28533000.0,25723000.0,16779000.0,13044000.0,0.0
4035,185370000.0,168430000.0,162860000.0,148870000.0,96060000.0,143300000.0
4036,241280000.0,261510000.0,235510000.0,435920000.0,480690000.0,543790000.0
4037,656520000.0,635710000.0,517560000.0,660770000.0,1102800000.0,1016800000.0
4038,40693000.0,42114000.0,32874000.0,0.0,0.0,0.0
4039,0.0,0.0,16246000.0,0.0,0.0,0.0
4040,7033900.0,0.0,6416200.0,17642000.0,13687000.0,7181200.0
4041,6.2,6.2,6.2,6.2,110930000.0,11583000.0
4042,20384000.0,17176000.0,17809000.0,17406000.0,18985000.0,19260000.0
4043,155790000.0,118160000.0,145960000.0,167840000.0,188520000.0,186260000.0
4044,0.0,0.0,0.0,0.0,14639000.0,0.0
4045,9466400.0,8922100.0,10711000.0,12004000.0,8767000.0,16495000.0
4046,0.0,0.0,11967000.0,0.0,15315000.0,7914200.0
4047,0.0,0.0,0.0,0.0,0.0,9872300.0
4048,36915000.0,37554000.0,40896000.0,63768000.0,64620000.0,72615000.0
4049,12624000.0,14151000.0,36287000.0,12430000.0,5960100.0,8275000.0
4050,23489000.0,18029000.0,19769000.0,52319000.0,31511000.0,26210000.0
4051,33593000.0,34238000.0,40773000.0,0.0,23054000.0,0.0
4052,73479000.0,76752000.0,54372000.0,64488000.0,79755000.0,65830000.0
4053,2775400.0,3514400.0,0.0,0.0,0.0,0.0
4054,5072800000.0,12988000000.0,14677000000.0,5113400000.0,8878500000.0,5499500000.0
4055,402770000.0,392930000.0,352870000.0,294170000.0,308660000.0,327120000.0
4056,45143000.0,51916000.0,49235000.0,57165000.0,47278000.0,38188000.0
4057,39951000.0,50721000.0,65304000.0,12415000.0,13634000.0,11606000.0
4058,34810000.0,37234000.0,31072000.0,30337000.0,41821000.0,34549000.0
4059,55041000.0,91194000.0,133090000.0,67852000.0,118660000.0,51639000.0
4060,43099000.0,46412000.0,37541000.0,79401000.0,60027000.0,65911000.0
4061,221570000.0,110940000.0,95082000.0,83398000.0,93178000.0,114860000.0
4062,226380000.0,313740000.0,321350000.0,302110000.0,258400000.0,339180000.0
4063,171830000.0,62586000.0,0.0,101190000.0,197900000.0,84071000.0
4064,12458000.0,12037000.0,24245000.0,12038000.0,9204700.0,7637100.0
4065,318640000.0,328370000.0,269950000.0,358660000.0,356080000.0,380650000.0
4066,13368000.0,11029000.0,25741000.0,0.0,9680000.0,0.0
4067,0.0,0.0,0.0,50765000.0,46241000.0,41584000.0
4068,96777000.0,94697000.0,115880000.0,442350000.0,253740000.0,289420000.0
4069,0.0,0.0,0.0,6087900.0,0.0,8729200.0
4070,307890000.0,362770000.0,262950000.0,0.0,0.0,0.0
4071,0.0,0.0,0.0,15932000.0,12929000.0,14867000.0
4072,0.0,0.0,0.0,0.0,0.0,2574700.0
4073,248910000.0,281750000.0,214170000.0,397230000.0,85281000.0,126190000.0
4074,0.0,49576000.0,43542000.0,0.0,34714000.0,33717000.0
4075,24804000.0,0.0,19596000.0,12201000.0,0.0,13986000.0
4076,53423000.0,45182000.0,60603000.0,55837000.0,48268000.0,49606000.0
4077,457420000.0,395250000.0,530440000.0,367360000.0,392740000.0,353200000.0
4078,0.0,0.0,0.0,401310000.0,306160000.0,241290000.0
4079,192090000.0,168790000.0,195330000.0,219640000.0,196070000.0,187400000.0
4080,11200000.0,12660000.0,13854000.0,21009000.0,11783000.0,11938000.0
4081,40305000.0,26622000.0,60193000.0,39391000.0,27431000.0,23029000.0
4082,51249000.0,50252000.0,58893000.0,135280000.0,91125000.0,74774000.0
4083,257540000.0,0.0,69318000.0,83889000.0,72398000.0,73166000.0
4084,319820000.0,282420000.0,362790000.0,430440000.0,304530000.0,296030000.0
4085,491480000.0,485990000.0,720380000.0,648000000.0,520750000.0,449780000.0
4086,7817000.0,6833900.0,6270800.0,19131000.0,9690200.0,15709000.0
4087,0.0,0.0,0.0,0.0,0.0,6244400.0
4088,96359000.0,75826000.0,89897000.0,78414000.0,58838000.0,74567000.0
4089,422090000.0,420620000.0,484950000.0,764130000.0,613870000.0,534720000.0
4090,852650000.0,751220000.0,835070000.0,1122300000.0,1057900000.0,1018300000.0
4091,239920000.0,262160000.0,237240000.0,300790000.0,281910000.0,252560000.0
4092,10728000.0,0.0,0.0,43807000.0,27575000.0,0.0
4093,532560000.0,546470000.0,433580000.0,707750000.0,698430000.0,658650000.0
4094,248700000.0,48196000.0,35219000.0,53341000.0,126630000.0,105440000.0
